categorical_accuracy,val_categorical_accuracy
0.4449481964111328,0.37226277589797974
0.7066062092781067,0.9051094651222229
0.8154144883155823,0.9233576655387878
0.8698186278343201,0.9489051103591919
0.8944300413131714,0.956204354763031
0.9073834419250488,0.9489051103591919
0.931347131729126,0.9489051103591919
0.9488341808319092,0.9270073175430298
0.965673565864563,0.94525545835495
0.9734455943107605,0.9525547623634338
0.9715026021003723,0.9416058659553528
0.9831606149673462,0.9525547623634338
0.9870466589927673,0.9416058659553528
0.9902849793434143,0.9635036587715149
0.9851036071777344,0.959854006767273
0.9896373152732849,0.9635036587715149
0.9915803074836731,0.9635036587715149
0.9902849793434143,0.9635036587715149
0.9896373152732849,0.9671533107757568
0.9961140155792236,0.959854006767273
